produce,month,status,is_meat,is_fish,is_fruit,is_veg
Clementine,Mar,Out of season,FALSE,FALSE,TRUE,FALSE
Cod,Mar,At its best,FALSE,TRUE,FALSE,FALSE
Courgette,Mar,Out of season,FALSE,FALSE,FALSE,TRUE
Courgette flower,Mar,Out of season,FALSE,FALSE,FALSE,TRUE
Crab,Mar,Out of season,FALSE,TRUE,FALSE,FALSE
Crab apple,Mar,Out of season,FALSE,FALSE,TRUE,FALSE
Cranberry,Mar,Out of season,FALSE,FALSE,TRUE,FALSE
Damson,Mar,Out of season,FALSE,FALSE,TRUE,FALSE
Date,Mar,Out of season,FALSE,FALSE,TRUE,FALSE
Duck,Mar,Out of season,TRUE,FALSE,FALSE,FALSE
Elderberries,Mar,Out of season,FALSE,FALSE,TRUE,FALSE
Fennel bulb,Mar,Out of season,FALSE,FALSE,FALSE,TRUE
Fig,Mar,Out of season,FALSE,FALSE,TRUE,FALSE
Garlic,Mar,Out of season,FALSE,FALSE,FALSE,TRUE
Globe artichoke,Mar,Out of season,FALSE,FALSE,FALSE,TRUE
Goose,Mar,Out of season,TRUE,FALSE,FALSE,FALSE
Gooseberry,Mar,Out of season,FALSE,FALSE,TRUE,FALSE
Grapefruit,Mar,At its best,FALSE,FALSE,TRUE,FALSE
Grouse,Mar,Out of season,TRUE,FALSE,FALSE,FALSE
Guinea fowl,Mar,Out of season,TRUE,FALSE,FALSE,FALSE
Halibut,Mar,At its best,FALSE,TRUE,FALSE,FALSE
Jerusalem artichoke,Mar,At its best,FALSE,FALSE,FALSE,TRUE
Kale,Mar,Out of season,FALSE,FALSE,FALSE,TRUE
Kipper,Mar,Out of season,FALSE,TRUE,FALSE,FALSE
Kohlrabi,Mar,Out of season,FALSE,FALSE,FALSE,TRUE
Lamb,Mar,At its best,TRUE,FALSE,FALSE,FALSE
Lamb's lettuce,Mar,Out of season,FALSE,FALSE,FALSE,TRUE
Leek,Mar,At its best,FALSE,FALSE,FALSE,TRUE
Lemon,Mar,At its best,FALSE,FALSE,TRUE,FALSE
Lettuce,Mar,Out of season,FALSE,FALSE,FALSE,TRUE
Loganberry,Mar,Out of season,FALSE,FALSE,TRUE,FALSE
Mackerel,Mar,Out of season,FALSE,TRUE,FALSE,FALSE
Mangetout,Mar,Out of season,FALSE,FALSE,FALSE,TRUE
Marrow,Mar,Out of season,FALSE,FALSE,FALSE,TRUE
Mint,Mar,Out of season,FALSE,FALSE,FALSE,TRUE
Mussels,Mar,At its best,FALSE,TRUE,FALSE,FALSE
Nectarine,Mar,Out of season,FALSE,FALSE,TRUE,FALSE
New potatoes,Mar,Out of season,FALSE,FALSE,FALSE,TRUE
Onion,Mar,At its best,FALSE,FALSE,FALSE,TRUE
