produce,month,status,is_meat,is_fish,is_fruit,is_veg
Garlic,Dec,Out of season,FALSE,FALSE,FALSE,TRUE
Globe artichoke,Dec,Out of season,FALSE,FALSE,FALSE,TRUE
Goose,Dec,At its best,TRUE,FALSE,FALSE,FALSE
Gooseberry,Dec,Out of season,FALSE,FALSE,TRUE,FALSE
Grapefruit,Dec,At its best,FALSE,FALSE,TRUE,FALSE
Grouse,Dec,At its best,TRUE,FALSE,FALSE,FALSE
Guinea fowl,Dec,Out of season,TRUE,FALSE,FALSE,FALSE
Halibut,Dec,Out of season,FALSE,TRUE,FALSE,FALSE
Jerusalem artichoke,Dec,At its best,FALSE,FALSE,FALSE,TRUE
Kale,Dec,At its best,FALSE,FALSE,FALSE,TRUE
Kipper,Dec,Out of season,FALSE,TRUE,FALSE,FALSE
Kohlrabi,Dec,Out of season,FALSE,FALSE,FALSE,TRUE
Lamb,Dec,At its best,TRUE,FALSE,FALSE,FALSE
Lamb's lettuce,Dec,Out of season,FALSE,FALSE,FALSE,TRUE
Leek,Dec,At its best,FALSE,FALSE,FALSE,TRUE
Lemon,Dec,Out of season,FALSE,FALSE,TRUE,FALSE
Lettuce,Dec,At its best,FALSE,FALSE,FALSE,TRUE
Loganberry,Dec,Out of season,FALSE,FALSE,TRUE,FALSE
Mackerel,Dec,Out of season,FALSE,TRUE,FALSE,FALSE
Mangetout,Dec,Out of season,FALSE,FALSE,FALSE,TRUE
Marrow,Dec,Out of season,FALSE,FALSE,FALSE,TRUE
Mint,Dec,Out of season,FALSE,FALSE,FALSE,TRUE
Mussels,Dec,At its best,FALSE,TRUE,FALSE,FALSE
Nectarine,Dec,Out of season,FALSE,FALSE,TRUE,FALSE
New potatoes,Dec,Out of season,FALSE,FALSE,FALSE,TRUE
Onion,Dec,At its best,FALSE,FALSE,FALSE,TRUE
Orange,Dec,Out of season,FALSE,FALSE,TRUE,FALSE
Oyster,Dec,At its best,FALSE,TRUE,FALSE,FALSE
Pak choi,Dec,At its best,FALSE,FALSE,FALSE,TRUE
Parsnip,Dec,At its best,FALSE,FALSE,FALSE,TRUE
Peach,Dec,Out of season,FALSE,FALSE,TRUE,FALSE
Pear,Dec,At its best,FALSE,FALSE,TRUE,FALSE
Peas,Dec,Out of season,FALSE,FALSE,FALSE,TRUE
Pepper,Dec,Out of season,FALSE,FALSE,FALSE,TRUE
Plum,Dec,Out of season,FALSE,FALSE,TRUE,FALSE
Pomegranate,Dec,At its best,FALSE,FALSE,TRUE,FALSE
Pork,Dec,At its best,TRUE,FALSE,FALSE,FALSE
Potato,Dec,Out of season,FALSE,FALSE,FALSE,TRUE
Pumpkin,Dec,At its best,FALSE,FALSE,FALSE,TRUE
Purple sprouting broccoli,Dec,Out of season,FALSE,FALSE,FALSE,TRUE
Quince,Dec,At its best,FALSE,FALSE,TRUE,FALSE
Radicchio,Dec,At its best,FALSE,FALSE,FALSE,TRUE
Radish,Dec,Out of season,FALSE,FALSE,FALSE,TRUE
Raspberry,Dec,Out of season,FALSE,FALSE,TRUE,FALSE
Redcurrant,Dec,Out of season,FALSE,FALSE,TRUE,FALSE
Rhubarb,Dec,Out of season,FALSE,FALSE,FALSE,TRUE
Runner bean,Dec,Out of season,FALSE,FALSE,FALSE,TRUE
Salmon,Dec,Out of season,FALSE,TRUE,FALSE,FALSE
Salsify,Dec,At its best,FALSE,FALSE,FALSE,TRUE
Samphire,Dec,Out of season,FALSE,FALSE,FALSE,TRUE
Sorrel,Dec,Out of season,FALSE,FALSE,FALSE,TRUE
Spinach,Dec,Out of season,FALSE,FALSE,FALSE,TRUE
Spring greens,Dec,Out of season,FALSE,FALSE,FALSE,TRUE
Spring lamb,Dec,Out of season,TRUE,FALSE,FALSE,FALSE
Spring onion,Dec,At its best,FALSE,FALSE,FALSE,TRUE
Strawberry,Dec,Out of season,FALSE,FALSE,TRUE,FALSE
Swede,Dec,At its best,FALSE,FALSE,FALSE,TRUE
Sweet potato,Dec,At its best,FALSE,FALSE,FALSE,TRUE
Sweetcorn,Dec,Out of season,FALSE,FALSE,FALSE,TRUE
Swiss chard,Dec,Out of season,FALSE,FALSE,FALSE,TRUE
Tayberry,Dec,Out of season,FALSE,FALSE,TRUE,FALSE
Tomato,Dec,Out of season,FALSE,FALSE,TRUE,FALSE
Tuna,Dec,Out of season,FALSE,TRUE,FALSE,FALSE
Turkey,Dec,At its best,TRUE,FALSE,FALSE,FALSE
Turnip,Dec,At its best,FALSE,FALSE,FALSE,TRUE
Venison,Dec,At its best,TRUE,FALSE,FALSE,FALSE
Watercress,Dec,Out of season,FALSE,FALSE,FALSE,TRUE
Watermelon,Dec,Out of season,FALSE,FALSE,TRUE,FALSE
White asparagus,Dec,Out of season,FALSE,FALSE,FALSE,TRUE
Whiting,Dec,At its best,FALSE,TRUE,FALSE,FALSE
